TimeSpent,AmountWorkers
85,1
85,1
78,1
100,1
78,1
75,1
85,1
100,1
100,1
85,1
100,1
85,1
78,1
78,1
78,1
85,1
85,1
100,1
85,1
100,1
78,1
78,1
53,2
100,1
85,1
61,2
100,1
78,1
75,1
85,1
75,1
85,1
78,1
78,1
78,1
100,1
78,1
78,1
100,1
100,1
100,1
78,1
75,1
100,1
75,1
78,1
100,1
100,1
78,1
78,1
78,1
85,1
78,1
100,1
85,1
85,1
78,1
75,1
85,1
75,1
54,2
100,1
75,1
85,1
75,1
100,1
100,1
85,1
75,1
78,1
85,1
75,1
100,1
75,1
100,1
75,1
78,1
75,1
100,1
75,1
78,1
78,1
78,1
85,1
100,1
78,1
85,1
100,1
78,1
85,1
100,1
85,1
85,1
100,1
85,1
85,1
75,1
100,1
78,1
100,1
75,1
75,1
75,1
78,1
100,1
100,1
78,1
100,1
78,1
75,1
100,1
78,1
100,1
100,1
100,1
61,2
78,1
85,1
78,1
78,1
100,1
75,1
78,1
78,1
54,2
53,2
85,1
85,1
75,1
85,1
85,1
85,1
85,1
85,1
85,1
85,1
85,1
100,1
78,1
85,1
100,1
78,1
85,1
78,1
78,1
75,1
75,1
75,1
75,1
78,1
100,1
57,2
75,1
78,1
78,1
100,1
78,1
78,1
75,1
75,1
100,1
75,1
85,1
85,1
78,1
85,1
75,1
78,1
85,1
100,1
75,1
78,1
75,1
